author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,3,6,2,71.4,Технопарк,True,539216
real_estate_agent,19,53,2,75.0,Раменки,True,686667
real_estate_agent,11,13,2,77.0,Динамо,True,831169
developer,23,25,1,96.8,Заельцовская,True,211000
homeowner,4,10,2,54.0,not available,False,129630
representative_developer,4,23,2,51.9,not available,False,135000
real_estate_agent,5,7,2,36.0,not available,False,216667
real_estate_agent,4,10,1,48.0,Горки,True,191667
real_estate_agent,20,26,2,51.0,Аметьево,True,194098
real_estate_agent,5,7,2,54.3,not available,False,232044
real_estate_agent,5,9,2,54.5,not available,False,256881
real_estate_agent,7,7,2,55.0,not available,False,263636
real_estate_agent,2,4,2,60.4,not available,False,333361
real_estate_agent,5,5,1,54.7,Гостиный двор,True,402194
real_estate_agent,5,18,2,65.0,not available,False,350000
real_estate_agent,7,8,2,55.0,not available,False,454545
real_estate_agent,4,6,2,76.6,Спортивная,True,484375
developer,2,12,1,40.5,not available,False,105269
real_estate_agent,1,4,2,49.6,not available,False,91734
developer,2,12,1,37.4,not available,False,135000
real_estate_agent,3,14,1,38.8,not available,False,152062
developer,12,15,2,46.5,not available,False,150000
real_estate_agent,1,12,2,54.5,not available,False,135780
unknown,2,3,2,35.5,not available,False,264789
developer,12,21,1,38.59,Калитники,True,319992
developer,2,51,1,37.01,Хорошёвская,True,465000
realtor,4,13,1,41.1,ЗИЛ,True,485401
developer,23,51,1,44.29,Хорошёвская,True,518000
real_estate_agent,23,42,1,41.0,Крымская,True,609756
real_estate_agent,6,40,1,40.49,ЗИЛ,True,617436
real_estate_agent,50,55,2,42.47,Марьина Роща,True,633388
real_estate_agent,50,55,2,42.62,Марьина Роща,True,631159
real_estate_agent,8,22,2,70.5,Угрешская,True,392199
real_estate_agent,4,12,2,58.3,Шелепиха,True,531732
developer,6,13,1,48.6,Дубровка,True,668600
real_estate_agent,10,25,2,56.0,Народное Ополчение,True,589286
real_estate_agent,50,55,2,65.21,Марьина Роща,True,621070
real_estate_agent,36,53,2,78.0,Раменки,True,587179
real_estate_agent,9,21,2,86.0,Терехово ,True,639535
developer,59,85,2,80.6,Москва-Сити,True,896372
developer,54,85,2,83.3,Москва-Сити,True,874058
real_estate_agent,2,6,2,80.0,Третьяковская,True,1031250
